Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
3674.0,-37.8107605,144.8856049,53 Bayview Road,YARRAVILLE,4820000.0,house,2009.0,3.0,1.0,0.0,478.0,0.5,19996,0.683,14.0,0.0,hospital_056,1.963,MARIBY8490,0.478
43336.0,-37.720166,145.089367,89 Yallambie Road,MACLEOD,6480000.0,house,2014.0,3.0,1.0,2.0,4341.0,2.888,19984,1.136,38.57142857142857,0.0,hospital_075,2.216,BANYUL12834,2.506
17900.0,-37.697134,144.909993,97 Augustine Terrace,GLENROY,4320000.0,house,2016.0,3.0,1.0,2.0,4809.0,0.936,20031,0.562,37.81818181818182,0.0,hospital_184,5.046,MORELA13013,1.018
23762.0,-37.638873,144.90775,7 Castlehill Avenue,GREENVALE,5400000.0,house,2013.0,3.0,2.0,2.0,5546.0,4.482,40220,2.439,46.75,0.0,hospital_104,1.726,HUMECI11782,6.082
76249.0,-37.90504837,145.110733,49 Garnett Street,HUNTINGDALE,3992000.0,house,2009.0,3.0,1.0,1.0,734.0,0.983,19916,0.991,33.92857142857143,0.0,hospital_166,0.768,MONASH12056,0.69
94809.0,-37.913668,145.02542,14 Yawla Street,BENTLEIGH,21080000.0,house,2014.0,3.0,2.0,2.0,7650.0,1.527,19939,1.099,33.75,0.0,hospital_126,1.548,BAYSID11289,1.1
32298.0,-37.738303,145.00908,210 Murray Road,PRESTON,7680000.0,house,2011.0,2.0,1.0,1.0,2110.0,5.436,20012,0.755,28.875,0.0,hospital_139,2.504,DAREBI11830,4.917
49140.0,-37.806353,145.072236,19 Monash Avenue,BALWYN,30080000.0,house,2014.0,2.0,1.0,1.0,1022.0,10.685,19893,2.168,23.818181818181817,0.0,hospital_064,2.121,WHITEH11028,10.544
64952.0,-37.812439,145.286061,9 Como Close,CROYDON,7670000.0,house,2015.0,3.0,2.0,2.0,1342.0,4.938,19878,1.953,45.90909090909091,0.0,hospital_164,2.73,MAROON11044,5.396
55117.0,-37.839734,145.076556,17 Gowar Avenue,CAMBERWELL,32250000.0,house,2014.0,4.0,3.0,2.0,1596.0,8.595,19850,0.481,26.857142857142858,0.0,hospital_168,2.023,MONASH11997,8.384
22719.0,-37.744818,144.973958,39 Salisbury Street,COBURG,6768000.0,house,2016.0,3.0,1.0,2.0,4731.0,4.071,19965,0.975,30.0,0.0,hospital_144,1.312,MORELA13030,3.888
90559.0,-37.956306,145.065243,33 Fairview Avenue,CHELTENHAM,9012000.0,house,2014.0,3.0,1.0,1.0,5101.0,0.586,52095,1.441,41.714285714285715,0.0,hospital_082,0.874,BAYSID12340,0.829
